ID,City,Name,Price_Intraday_,Change,% Change,Volume,AvgVol_3month_,MarketCap,PerRatio_TTM,PERatio_TTM_,
1,New York,"Tesla, Inc.",122.4,-1.16,-0.0094,180.714,119.366,119.366,386.509,37.78,
2,Los Angeles,Ford Motor Company,12.72,-0.71,-0.0529,96.444,54.132,54.132,51.141,5.68,
3,Chicago,Bank of America Corporation,35.23,0.76,0.022,89.668,40.456,40.456,281.727,11.04,
4,Houston,"Amazon.com, Inc.",98.12,2.85,0.0299,85.282,83.695,83.695,1.001,89.2,
5,Phoenix,Apple Inc.,134.76,1.35,0.0101,57.81,82.446,82.446,2.144,22.06,
6,Philadelphia,DiDi Global Inc.,4.6,-0.03,-0.0065,54.807,12.712,12.712,22.329,44,
7,San Antonio,American Airlines Group Inc.,17.02,0.19,0.0113,50.828,28.975,28.975,11.061,77,
8,San Diego,"Advanced Micro Devices, Inc.",71,0.2,0.0028,45.68,68.074,68.074,114.478,45.22,
9,Dallas,NVIDIA Corporation,168.99,3.88,0.0235,44.729,47.717,47.717,421.123,45.32,
10,San Jose,"Rivian Automotive, Inc.",16.45,-1.13,-0.0643,42.771,16.7,16.7,14.532,30,
11,Austin,Wells Fargo & Company,44.22,1.39,0.0325,41.281,18.403,18.403,168.5,11.49,
12,Jacksonville,Carnival Corporation & plc,10.51,0.23,0.0224,41.54,52.001,52.001,13.664,14,
13,Fort Worth,NIO Inc.,11.8,-0.01,-0.0008,41.632,60.673,60.673,19.712,51,
14,Columbus,Banco Bradesco S.A.,2.92,0.01,0.0034,34.491,44.455,44.455,31.123,6.35,
15,San Francisco,"SoFi Technologies, Inc.",5.44,0.08,0.0149,32.477,43.313,43.313,4.35,79,
16,Charlotte,Intel Corporation,30.11,-0.18,-0.0059,31.336,38.134,38.134,124.264,9.32,
17,Indianapolis,Ambev S.A.,2.71,-0.03,-0.0109,30.224,27.83,27.83,42.775,16.94,
18,Seattle,"Delta Air Lines, Inc.",38.2,-1.4,-0.0354,29.12,9.812,9.812,24.493,293.85,
19,Denver,"Lucid Group, Inc.",8.15,-0.16,-0.0193,29.036,26.149,26.149,14.901,7.84,
20,Washington,Citigroup Inc.,49.92,0.83,0.0169,28.018,17.461,17.461,96.688,6.7,
21,Boston,Alphabet Inc.,92.12,0.99,0.0109,26.329,32.583,32.583,1.197,18.39,
